student_id,first_name,last_name,age,email,country,grade_math,grade_science,grade_english,Final_score
1,kerrill,de cleyne,24,kdecleyne0@furl.net,venezuela,68,80,15,54
2,krissie,vittet,25,kvittet1@ustream.tv,bulgaria,29,30,60,39
3,hugibert,haugg,21,hhaugg2@theguardian.com,new zealand,76,0,55,43
4,fancie,de mars,18,fdemars3@parallels.com,china,82,88,90,86
5,micki,o'dowgaine,24,modowgaine4@livejournal.com,china,77,23,11,37
6,bella,litchfield,22,blitchfield5@dropbox.com,china,44,78,30,50
7,ariel,laslett,22,alaslett6@vimeo.com,malta,100,61,90,83
8,ailbert,nickolls,25,anickolls7@is.gd,china,98,81,59,79
9,jobyna,stoffer,25,jstoffer8@xinhuanet.com,el salvador,35,51,41,42
10,saundra,dietzler,25,sdietzler9@blogspot.com,argentina,46,38,16,33
11,mitchel,lunt,22,mlunta@gov.uk,macedonia,89,40,65,64
12,nicoli,chadburn,25,nchadburnb@toplist.cz,mexico,80,47,53,60
13,ketti,naisby,21,knaisbyc@sina.com.cn,france,95,30,49,58
14,adoree,rama,22,aramad@xinhuanet.com,argentina,60,89,12,53
15,berny,jime,19,bjimee@zdnet.com,brazil,61,27,32,40
16,reynolds,goodge,24,rgoodgef@cargocollective.com,guatemala,56,2,41,33
17,turner,brendish,24,tbrendishg@opera.com,sweden,23,72,90,61
18,ninetta,carrane,20,ncarraneh@etsy.com,slovenia,78,98,95,90
19,dilly,jedrychowski,19,djedrychowskii@aol.com,china,28,40,3,23
20,friedrick,schrir,19,fschrirj@slashdot.org,indonesia,100,6,55,53
21,clay,gallagher,23,cgallagherk@soup.io,vietnam,63,81,12,52
22,collen,foran,20,cforanl@sakura.ne.jp,croatia,38,67,74,59
23,skye,elland,20,sellandm@a8.net,russia,82,88,27,65
24,tonnie,audenis,24,taudenisn@wufoo.com,philippines,71,6,26,34
25,hedwiga,tidswell,20,htidswello@discovery.com,china,78,97,8,61
26,clevey,bargh,25,cbarghp@uol.com.br,china,20,34,76,43
27,kurt,ivery,25,kiveryq@csmonitor.com,portugal,51,60,18,43
28,lloyd,yeliashev,18,lyeliashevr@hud.gov,china,87,94,92,91
29,terence,creswell,20,tcreswells@domainmarket.com,china,76,66,68,70
30,valentia,mcgarrahan,25,vmcgarrahant@kickstarter.com,china,32,62,80,58
31,tara,bodesson,24,tbodessonu@nymag.com,portugal,41,15,93,49
32,arvy,hinkins,19,ahinkinsv@go.com,portugal,90,95,63,82
33,allys,o'kieran,19,aokieranw@cargocollective.com,indonesia,87,4,74,55
34,kele,vashchenko,19,kvashchenkox@salon.com,lithuania,12,55,88,51
35,eilis,kissock,23,ekissocky@wsj.com,russia,0,14,69,27
36,phyllys,prahl,23,pprahlz@mapy.cz,china,31,55,9,31
37,rosella,dowall,22,rdowall10@hexun.com,philippines,81,33,31,48
38,karim,mcdougald,25,kmcdougald11@tinyurl.com,philippines,24,18,16,19
39,teriann,gaynor,19,tgaynor12@topsy.com,france,41,1,12,18
40,andonis,pert,21,apert13@reference.com,poland,97,66,64,75
41,garik,caldecot,23,gcaldecot14@gmpg.org,indonesia,73,1,96,56
42,andria,bollum,25,abollum15@deliciousdays.com,south korea,62,41,74,59
43,rodolphe,bordes,24,rbordes16@who.int,kenya,87,92,50,76
44,der,blackborough,19,dblackborough17@yelp.com,paraguay,7,70,79,52
45,tess,laidel,25,tlaidel18@slate.com,curacao,19,47,90,52
46,skylar,lewry,20,slewry19@trellian.com,portugal,53,57,21,43
47,dorice,astle,25,dastle1a@weebly.com,mexico,16,67,12,31
48,dorolice,donohue,24,ddonohue1b@istockphoto.com,argentina,69,10,60,46
49,starlin,klimp,18,sklimp1c@fotki.com,brazil,89,5,99,64
50,prentiss,blythe,25,pblythe1d@wikia.com,argentina,90,16,44,50
51,zacharias,colquite,20,zcolquite1e@smh.com.au,china,77,78,13,56
52,carmencita,whithalgh,23,cwhithalgh1f@skype.com,palestinian territory,54,28,41,41
53,ernaline,le blond,19,eleblond1g@bloglovin.com,japan,59,70,82,70
54,tanya,braisby,24,tbraisby1h@gnu.org,russia,86,10,35,43
55,leisha,doward,24,ldoward1i@upenn.edu,syria,71,22,59,50
56,jory,harsnipe,22,jharsnipe1j@fema.gov,china,45,47,40,44
57,shandee,scaice,20,sscaice1k@sun.com,czech republic,61,31,52,48
58,noel,crackett,19,ncrackett1l@nyu.edu,croatia,76,43,36,51
59,corine,cattlemull,24,ccattlemull1m@earthlink.net,philippines,98,43,93,78
60,elvera,kilcullen,19,ekilcullen1n@csmonitor.com,germany,21,65,91,59
61,elisha,cudby,19,ecudby1o@clickbank.net,france,82,34,18,44
62,fawnia,pleuman,25,fpleuman1p@fotki.com,south africa,61,26,33,40
63,ulberto,element,20,uelement1q@mail.ru,kenya,82,35,16,44
64,tildi,scobbie,21,tscobbie1r@wix.com,indonesia,39,94,83,72
65,claudina,stallard,24,cstallard1s@drupal.org,taiwan,6,44,11,20
66,ethelyn,farens,24,efarens1t@wordpress.org,czech republic,62,90,39,63
67,thalia,abercromby,24,tabercromby1u@example.com,philippines,71,78,16,55
68,arabela,risely,23,arisely1v@marketwatch.com,china,91,64,63,72
69,matteo,lattey,21,mlattey1w@spiegel.de,afghanistan,100,27,54,60
70,carmella,ballsdon,18,cballsdon1x@google.ru,russia,34,57,63,51
71,killie,lorenc,24,klorenc1y@123-reg.co.uk,syria,21,16,63,33
72,cilka,telfer,22,ctelfer1z@google.com,japan,31,65,26,40
73,delbert,vala,25,dvala20@eepurl.com,indonesia,68,33,60,53
74,concordia,boyton,23,cboyton21@is.gd,indonesia,9,91,29,43
75,enid,pretley,23,epretley22@pagesperso-orange.fr,philippines,79,2,82,54
76,davina,waywell,19,dwaywell23@tripod.com,lithuania,10,61,86,52
77,gunter,ruste,22,gruste24@prlog.org,russia,83,81,20,61
78,ric,de carlo,20,rdecarlo25@amazon.com,brazil,34,20,71,41
79,jenelle,treherne,18,jtreherne26@wordpress.org,portugal,31,48,5,28
80,welch,mucklow,19,wmucklow27@shop-pro.jp,portugal,26,15,51,30
81,anatol,wheatman,25,awheatman28@spotify.com,russia,81,72,51,68
82,ritchie,o'carmody,25,rocarmody29@pinterest.com,azerbaijan,13,27,62,34
83,davide,pettyfer,19,dpettyfer2a@vinaora.com,china,44,78,55,59
84,sada,anchor,24,sanchor2b@gmpg.org,china,79,18,29,42
85,maure,maybey,19,mmaybey2c@si.edu,russia,69,96,50,71
86,blinnie,o'murtagh,20,bomurtagh2d@si.edu,portugal,62,99,6,55
87,evie,heenan,22,eheenan2e@nsw.gov.au,poland,95,46,73,71
88,bevin,capnerhurst,19,bcapnerhurst2f@yale.edu,united states,37,47,76,53
89,esme,allsep,21,eallsep2g@nyu.edu,czech republic,74,90,5,56
90,ugo,renbold,20,urenbold2h@nbcnews.com,azerbaijan,22,25,68,38
91,smith,sanpere,25,ssanpere2i@edublogs.org,philippines,89,88,12,63
92,clareta,furze,19,cfurze2j@microsoft.com,nigeria,37,18,43,32
93,teador,chsteney,20,tchsteney2k@mayoclinic.com,panama,3,51,4,19
94,harriette,mcnicol,20,hmcnicol2l@histats.com,sri lanka,91,88,41,73
95,dosi,ainley,20,dainley2m@gnu.org,indonesia,13,10,57,26
96,krystle,macieja,20,kmacieja2n@addthis.com,china,38,81,84,67
97,laurie,usherwood,21,lusherwood2o@ebay.com,russia,94,49,31,58
98,nettie,vicioso,19,nvicioso2p@theguardian.com,ukraine,36,81,53,56
99,phil,vanichkov,24,pvanichkov2q@dropbox.com,indonesia,67,55,13,45
100,lorrayne,vahl,22,lvahl2r@nymag.com,republic of the congo,84,28,57,56
101,allison,saldler,24,asaldler2s@ucla.edu,portugal,44,90,68,67
102,eolande,skune,21,eskune2t@cbslocal.com,greece,60,34,71,55
103,mozelle,giacobbinijacob,21,mgiacobbinijacob2u@phoca.cz,poland,39,18,3,20
104,perkin,corris,25,pcorris2v@archive.org,thailand,22,68,70,53
105,willabella,mathews,22,wmathews2w@blogspot.com,philippines,12,31,4,15
106,esmaria,anning,19,eanning2x@hatena.ne.jp,portugal,45,85,47,59
107,irvin,dibsdale,23,idibsdale2y@netvibes.com,philippines,24,38,31,31
108,boniface,storror,19,bstorror2z@xing.com,brazil,37,40,50,42
109,veda,street,25,vstreet30@un.org,china,92,45,61,66
110,harley,rigts,24,hrigts31@soup.io,poland,55,43,72,56
111,bobbie,perryn,23,bperryn32@tiny.cc,indonesia,47,33,7,29
112,estel,mcduffie,22,emcduffie33@kickstarter.com,portugal,16,26,42,28
113,candis,eisold,22,ceisold34@rediff.com,russia,48,79,11,46
114,donn,armfirld,20,darmfirld35@linkedin.com,sweden,72,76,41,63
115,donny,jansens,19,djansens36@who.int,philippines,59,70,80,69
116,midge,okenden,24,mokenden37@slashdot.org,kazakhstan,4,73,19,32
117,lydia,mariotte,21,lmariotte38@amazon.de,indonesia,57,74,92,74
118,garald,baggiani,22,gbaggiani39@ustream.tv,iran,20,16,1,12
119,iseabal,dumphreys,24,idumphreys3a@sbwire.com,china,73,42,28,47
120,binni,jannasch,21,bjannasch3b@google.com.hk,sweden,26,40,19,28
121,archibold,scowcraft,19,ascowcraft3c@yolasite.com,philippines,17,95,71,61
122,catharina,ravel,20,cravel3d@soup.io,ukraine,79,67,63,69
123,averill,rainton,18,arainton3e@go.com,brazil,65,90,72,75
124,dawn,maddyson,21,dmaddyson3f@harvard.edu,mali,35,70,0,35
125,suzie,hullyer,20,shullyer3g@g.co,czech republic,22,4,60,28
126,rey,gammon,20,rgammon3h@discovery.com,russia,94,2,78,58
127,kristian,leinweber,20,kleinweber3i@ifeng.com,poland,35,69,12,38
128,sharity,neachell,25,sneachell3j@nps.gov,vietnam,16,31,25,24
129,lexis,pittson,19,lpittson3k@deviantart.com,peru,9,7,48,21
130,friedrick,pember,24,fpember3l@uol.com.br,latvia,55,52,87,64
131,jourdain,whitmell,18,jwhitmell3m@java.com,portugal,63,14,99,58
132,drusie,baughn,21,dbaughn3n@diigo.com,japan,8,60,42,36
133,dukey,greenrod,20,dgreenrod3o@printfriendly.com,china,64,28,97,63
134,risa,stent,23,rstent3p@fc2.com,france,42,92,11,48
135,kessia,larimer,25,klarimer3q@histats.com,portugal,86,44,20,50
