student_id,first_name,last_name,age,email,country,grade_math,grade_science,grade_english,total_score,full_name,Performance
1,Kerrill,De Cleyne,24,kdecleyne0@furl.net,VENEZUELA,68,80,15,54,Kerrill De Cleyne,Average
2,Krissie,Vittet,25,kvittet1@ustream.tv,BULGARIA,29,30,60,39,Krissie Vittet,Poor
3,Hugibert,Haugg,21,hhaugg2@theguardian.com,NEW ZEALAND,76,0,55,43,Hugibert Haugg,Average
4,Fancie,De Mars,18,fdemars3@parallels.com,CHINA,82,88,90,86,Fancie De Mars,Excellent
5,Micki,O'Dowgaine,24,modowgaine4@livejournal.com,CHINA,77,23,11,37,Micki O'Dowgaine,Poor
6,Bella,Litchfield,22,blitchfield5@dropbox.com,CHINA,44,78,30,50,Bella Litchfield,Average
7,Ariel,Laslett,22,alaslett6@vimeo.com,MALTA,100,61,90,83,Ariel Laslett,Excellent
8,Ailbert,Nickolls,25,anickolls7@is.gd,CHINA,98,81,59,79,Ailbert Nickolls,Good
9,Jobyna,Stoffer,25,jstoffer8@xinhuanet.com,EL SALVADOR,35,51,41,42,Jobyna Stoffer,Average
10,Saundra,Dietzler,25,sdietzler9@blogspot.com,ARGENTINA,46,38,16,33,Saundra Dietzler,Poor
11,Mitchel,Lunt,22,mlunta@gov.uk,MACEDONIA,89,40,65,64,Mitchel Lunt,Good
12,Nicoli,Chadburn,25,nchadburnb@toplist.cz,MEXICO,80,47,53,60,Nicoli Chadburn,Good
13,Ketti,Naisby,21,knaisbyc@sina.com.cn,FRANCE,95,30,49,58,Ketti Naisby,Average
14,Adoree,Rama,22,aramad@xinhuanet.com,ARGENTINA,60,89,12,53,Adoree Rama,Average
15,Berny,Jime,19,bjimee@zdnet.com,BRAZIL,61,27,32,40,Berny Jime,Average
16,Reynolds,Goodge,24,rgoodgef@cargocollective.com,GUATEMALA,56,2,41,33,Reynolds Goodge,Poor
17,Turner,Brendish,24,tbrendishg@opera.com,SWEDEN,23,72,90,61,Turner Brendish,Good
18,Ninetta,Carrane,20,ncarraneh@etsy.com,SLOVENIA,78,98,95,90,Ninetta Carrane,Excellent
19,Dilly,Jedrychowski,19,djedrychowskii@aol.com,CHINA,28,40,3,23,Dilly Jedrychowski,Poor
20,Friedrick,Schrir,19,fschrirj@slashdot.org,INDONESIA,100,6,55,53,Friedrick Schrir,Average
21,Clay,Gallagher,23,cgallagherk@soup.io,VIETNAM,63,81,12,52,Clay Gallagher,Average
22,Collen,Foran,20,cforanl@sakura.ne.jp,CROATIA,38,67,74,59,Collen Foran,Average
23,Skye,Elland,20,sellandm@a8.net,RUSSIA,82,88,27,65,Skye Elland,Good
24,Tonnie,Audenis,24,taudenisn@wufoo.com,PHILIPPINES,71,6,26,34,Tonnie Audenis,Poor
25,Hedwiga,Tidswell,20,htidswello@discovery.com,CHINA,78,97,8,61,Hedwiga Tidswell,Good
26,Clevey,Bargh,25,cbarghp@uol.com.br,CHINA,20,34,76,43,Clevey Bargh,Average
27,Kurt,Ivery,25,kiveryq@csmonitor.com,PORTUGAL,51,60,18,43,Kurt Ivery,Average
28,Lloyd,Yeliashev,18,lyeliashevr@hud.gov,CHINA,87,94,92,91,Lloyd Yeliashev,Excellent
29,Terence,Creswell,20,tcreswells@domainmarket.com,CHINA,76,66,68,70,Terence Creswell,Good
30,Valentia,McGarrahan,25,vmcgarrahant@kickstarter.com,CHINA,32,62,80,58,Valentia McGarrahan,Average
31,Tara,Bodesson,24,tbodessonu@nymag.com,PORTUGAL,41,15,93,49,Tara Bodesson,Average
32,Arvy,Hinkins,19,ahinkinsv@go.com,PORTUGAL,90,95,63,82,Arvy Hinkins,Excellent
33,Allys,O'Kieran,19,aokieranw@cargocollective.com,INDONESIA,87,4,74,55,Allys O'Kieran,Average
34,Kele,Vashchenko,19,kvashchenkox@salon.com,LITHUANIA,12,55,88,51,Kele Vashchenko,Average
35,Eilis,Kissock,23,ekissocky@wsj.com,RUSSIA,0,14,69,27,Eilis Kissock,Poor
36,Phyllys,Prahl,23,pprahlz@mapy.cz,CHINA,31,55,9,31,Phyllys Prahl,Poor
37,Rosella,Dowall,22,rdowall10@hexun.com,PHILIPPINES,81,33,31,48,Rosella Dowall,Average
38,Karim,McDougald,25,kmcdougald11@tinyurl.com,PHILIPPINES,24,18,16,19,Karim McDougald,Poor
39,Teriann,Gaynor,19,tgaynor12@topsy.com,FRANCE,41,1,12,18,Teriann Gaynor,Poor
40,Andonis,Pert,21,apert13@reference.com,POLAND,97,66,64,75,Andonis Pert,Good
41,Garik,Caldecot,23,gcaldecot14@gmpg.org,INDONESIA,73,1,96,56,Garik Caldecot,Average
