student_id,first_name,last_name,age,email,country,grade_math,grade_science,grade_english,Final_score
1,Kerrill,De Cleyne,24,kdecleyne0@furl.net,Venezuela,68,80,15,54
2,Krissie,Vittet,25,kvittet1@ustream.tv,Bulgaria,29,30,60,39
3,Hugibert,Haugg,21,hhaugg2@theguardian.com,New Zealand,76,0,55,43
4,Fancie,De Mars,18,fdemars3@parallels.com,China,82,88,90,86
5,Micki,O'Dowgaine,24,modowgaine4@livejournal.com,China,77,23,11,37
6,Bella,Litchfield,22,blitchfield5@dropbox.com,China,44,78,30,50
7,Ariel,Laslett,22,alaslett6@vimeo.com,Malta,100,61,90,83
8,Ailbert,Nickolls,25,anickolls7@is.gd,China,98,81,59,79
9,Jobyna,Stoffer,25,jstoffer8@xinhuanet.com,El Salvador,35,51,41,42
10,Saundra,Dietzler,25,sdietzler9@blogspot.com,Argentina,46,38,16,33
11,Mitchel,Lunt,22,mlunta@gov.uk,Macedonia,89,40,65,64
12,Nicoli,Chadburn,25,nchadburnb@toplist.cz,Mexico,80,47,53,60
13,Ketti,Naisby,21,knaisbyc@sina.com.cn,France,95,30,49,58
14,Adoree,Rama,22,aramad@xinhuanet.com,Argentina,60,89,12,53
15,Berny,Jime,19,bjimee@zdnet.com,Brazil,61,27,32,40
16,Reynolds,Goodge,24,rgoodgef@cargocollective.com,Guatemala,56,2,41,33
17,Turner,Brendish,24,tbrendishg@opera.com,Sweden,23,72,90,61
18,Ninetta,Carrane,20,ncarraneh@etsy.com,Slovenia,78,98,95,90
19,Dilly,Jedrychowski,19,djedrychowskii@aol.com,China,28,40,3,23
20,Friedrick,Schrir,19,fschrirj@slashdot.org,Indonesia,100,6,55,53
21,Clay,Gallagher,23,cgallagherk@soup.io,Vietnam,63,81,12,52
22,Collen,Foran,20,cforanl@sakura.ne.jp,Croatia,38,67,74,59
23,Skye,Elland,20,sellandm@a8.net,Russia,82,88,27,65
24,Tonnie,Audenis,24,taudenisn@wufoo.com,Philippines,71,6,26,34
25,Hedwiga,Tidswell,20,htidswello@discovery.com,China,78,97,8,61
26,Clevey,Bargh,25,cbarghp@uol.com.br,China,20,34,76,43
27,Kurt,Ivery,25,kiveryq@csmonitor.com,Portugal,51,60,18,43
28,Lloyd,Yeliashev,18,lyeliashevr@hud.gov,China,87,94,92,91
29,Terence,Creswell,20,tcreswells@domainmarket.com,China,76,66,68,70
30,Valentia,McGarrahan,25,vmcgarrahant@kickstarter.com,China,32,62,80,58
31,Tara,Bodesson,24,tbodessonu@nymag.com,Portugal,41,15,93,49
32,Arvy,Hinkins,19,ahinkinsv@go.com,Portugal,90,95,63,82
33,Allys,O'Kieran,19,aokieranw@cargocollective.com,Indonesia,87,4,74,55
34,Kele,Vashchenko,19,kvashchenkox@salon.com,Lithuania,12,55,88,51
35,Eilis,Kissock,23,ekissocky@wsj.com,Russia,0,14,69,27
36,Phyllys,Prahl,23,pprahlz@mapy.cz,China,31,55,9,31
37,Rosella,Dowall,22,rdowall10@hexun.com,Philippines,81,33,31,48
38,Karim,McDougald,25,kmcdougald11@tinyurl.com,Philippines,24,18,16,19
39,Teriann,Gaynor,19,tgaynor12@topsy.com,France,41,1,12,18
40,Andonis,Pert,21,apert13@reference.com,Poland,97,66,64,75
41,Garik,Caldecot,23,gcaldecot14@gmpg.org,Indonesia,73,1,96,56
42,Andria,Bollum,25,abollum15@deliciousdays.com,South Korea,62,41,74,59
43,Rodolphe,Bordes,24,rbordes16@who.int,Kenya,87,92,50,76
44,Der,Blackborough,19,dblackborough17@yelp.com,Paraguay,7,70,79,52
45,Tess,Laidel,25,tlaidel18@slate.com,Curacao,19,47,90,52
46,Skylar,Lewry,20,slewry19@trellian.com,Portugal,53,57,21,43
47,Dorice,Astle,25,dastle1a@weebly.com,Mexico,16,67,12,31
48,Dorolice,Donohue,24,ddonohue1b@istockphoto.com,Argentina,69,10,60,46
49,Starlin,Klimp,18,sklimp1c@fotki.com,Brazil,89,5,99,64
50,Prentiss,Blythe,25,pblythe1d@wikia.com,Argentina,90,16,44,50
51,Zacharias,Colquite,20,zcolquite1e@smh.com.au,China,77,78,13,56
52,Carmencita,Whithalgh,23,cwhithalgh1f@skype.com,Palestinian Territory,54,28,41,41
53,Ernaline,Le Blond,19,eleblond1g@bloglovin.com,Japan,59,70,82,70
54,Tanya,Braisby,24,tbraisby1h@gnu.org,Russia,86,10,35,43
55,Leisha,Doward,24,ldoward1i@upenn.edu,Syria,71,22,59,50
56,Jory,Harsnipe,22,jharsnipe1j@fema.gov,China,45,47,40,44
57,Shandee,Scaice,20,sscaice1k@sun.com,Czech Republic,61,31,52,48
58,Noel,Crackett,19,ncrackett1l@nyu.edu,Croatia,76,43,36,51
59,Corine,Cattlemull,24,ccattlemull1m@earthlink.net,Philippines,98,43,93,78
60,Elvera,Kilcullen,19,ekilcullen1n@csmonitor.com,Germany,21,65,91,59
61,Elisha,Cudby,19,ecudby1o@clickbank.net,France,82,34,18,44
62,Fawnia,Pleuman,25,fpleuman1p@fotki.com,South Africa,61,26,33,40
63,Ulberto,Element,20,uelement1q@mail.ru,Kenya,82,35,16,44
64,Tildi,Scobbie,21,tscobbie1r@wix.com,Indonesia,39,94,83,72
65,Claudina,Stallard,24,cstallard1s@drupal.org,Taiwan,6,44,11,20
66,Ethelyn,Farens,24,efarens1t@wordpress.org,Czech Republic,62,90,39,63
67,Thalia,Abercromby,24,tabercromby1u@example.com,Philippines,71,78,16,55
68,Arabela,Risely,23,arisely1v@marketwatch.com,China,91,64,63,72
69,Matteo,Lattey,21,mlattey1w@spiegel.de,Afghanistan,100,27,54,60
70,Carmella,Ballsdon,18,cballsdon1x@google.ru,Russia,34,57,63,51
71,Killie,Lorenc,24,klorenc1y@123-reg.co.uk,Syria,21,16,63,33
72,Cilka,Telfer,22,ctelfer1z@google.com,Japan,31,65,26,40
73,Delbert,Vala,25,dvala20@eepurl.com,Indonesia,68,33,60,53
74,Concordia,Boyton,23,cboyton21@is.gd,Indonesia,9,91,29,43
75,Enid,Pretley,23,epretley22@pagesperso-orange.fr,Philippines,79,2,82,54
76,Davina,Waywell,19,dwaywell23@tripod.com,Lithuania,10,61,86,52
77,Gunter,Ruste,22,gruste24@prlog.org,Russia,83,81,20,61
78,Ric,De Carlo,20,rdecarlo25@amazon.com,Brazil,34,20,71,41
79,Jenelle,Treherne,18,jtreherne26@wordpress.org,Portugal,31,48,5,28
80,Welch,Mucklow,19,wmucklow27@shop-pro.jp,Portugal,26,15,51,30
81,Anatol,Wheatman,25,awheatman28@spotify.com,Russia,81,72,51,68
82,Ritchie,O'Carmody,25,rocarmody29@pinterest.com,Azerbaijan,13,27,62,34
83,Davide,Pettyfer,19,dpettyfer2a@vinaora.com,China,44,78,55,59
84,Sada,Anchor,24,sanchor2b@gmpg.org,China,79,18,29,42
85,Maure,Maybey,19,mmaybey2c@si.edu,Russia,69,96,50,71
86,Blinnie,O'Murtagh,20,bomurtagh2d@si.edu,Portugal,62,99,6,55
87,Evie,Heenan,22,eheenan2e@nsw.gov.au,Poland,95,46,73,71
88,Bevin,Capnerhurst,19,bcapnerhurst2f@yale.edu,United States,37,47,76,53
89,Esme,Allsep,21,eallsep2g@nyu.edu,Czech Republic,74,90,5,56
90,Ugo,Renbold,20,urenbold2h@nbcnews.com,Azerbaijan,22,25,68,38
91,Smith,Sanpere,25,ssanpere2i@edublogs.org,Philippines,89,88,12,63
92,Clareta,Furze,19,cfurze2j@microsoft.com,Nigeria,37,18,43,32
93,Teador,Chsteney,20,tchsteney2k@mayoclinic.com,Panama,3,51,4,19
94,Harriette,McNicol,20,hmcnicol2l@histats.com,Sri Lanka,91,88,41,73
95,Dosi,Ainley,20,dainley2m@gnu.org,Indonesia,13,10,57,26
96,Krystle,Macieja,20,kmacieja2n@addthis.com,China,38,81,84,67
97,Laurie,Usherwood,21,lusherwood2o@ebay.com,Russia,94,49,31,58
98,Nettie,Vicioso,19,nvicioso2p@theguardian.com,Ukraine,36,81,53,56
99,Phil,Vanichkov,24,pvanichkov2q@dropbox.com,Indonesia,67,55,13,45
100,Lorrayne,Vahl,22,lvahl2r@nymag.com,Republic of the Congo,84,28,57,56
101,Allison,Saldler,24,asaldler2s@ucla.edu,Portugal,44,90,68,67
102,Eolande,Skune,21,eskune2t@cbslocal.com,Greece,60,34,71,55
103,Mozelle,GiacobbiniJacob,21,mgiacobbinijacob2u@phoca.cz,Poland,39,18,3,20
104,Perkin,Corris,25,pcorris2v@archive.org,Thailand,22,68,70,53
105,Willabella,Mathews,22,wmathews2w@blogspot.com,Philippines,12,31,4,15
106,Esmaria,Anning,19,eanning2x@hatena.ne.jp,Portugal,45,85,47,59
107,Irvin,Dibsdale,23,idibsdale2y@netvibes.com,Philippines,24,38,31,31
108,Boniface,Storror,19,bstorror2z@xing.com,Brazil,37,40,50,42
109,Veda,Street,25,vstreet30@un.org,China,92,45,61,66
110,Harley,Rigts,24,hrigts31@soup.io,Poland,55,43,72,56
111,Bobbie,Perryn,23,bperryn32@tiny.cc,Indonesia,47,33,7,29
112,Estel,McDuffie,22,emcduffie33@kickstarter.com,Portugal,16,26,42,28
113,Candis,Eisold,22,ceisold34@rediff.com,Russia,48,79,11,46
114,Donn,Armfirld,20,darmfirld35@linkedin.com,Sweden,72,76,41,63
115,Donny,Jansens,19,djansens36@who.int,Philippines,59,70,80,69
116,Midge,Okenden,24,mokenden37@slashdot.org,Kazakhstan,4,73,19,32
117,Lydia,Mariotte,21,lmariotte38@amazon.de,Indonesia,57,74,92,74
118,Garald,Baggiani,22,gbaggiani39@ustream.tv,Iran,20,16,1,12
119,Iseabal,Dumphreys,24,idumphreys3a@sbwire.com,China,73,42,28,47
120,Binni,Jannasch,21,bjannasch3b@google.com.hk,Sweden,26,40,19,28
121,Archibold,Scowcraft,19,ascowcraft3c@yolasite.com,Philippines,17,95,71,61
122,Catharina,Ravel,20,cravel3d@soup.io,Ukraine,79,67,63,69
123,Averill,Rainton,18,arainton3e@go.com,Brazil,65,90,72,75
124,Dawn,Maddyson,21,dmaddyson3f@harvard.edu,Mali,35,70,0,35
125,Suzie,Hullyer,20,shullyer3g@g.co,Czech Republic,22,4,60,28
