student_id,first_name,last_name,age,email,country,grade_math,grade_science,grade_english,Final_score,Total_Marks,Average_Marks
1,Kerrill,De Cleyne,24,kdecleyne0@furl.net,Venezuela,68,80,15,54,163,54.333333333333336
2,Krissie,Vittet,25,kvittet1@ustream.tv,Bulgaria,29,30,60,39,119,39.666666666666664
3,Hugibert,Haugg,21,hhaugg2@theguardian.com,New Zealand,76,0,55,43,131,43.666666666666664
4,Fancie,De Mars,18,fdemars3@parallels.com,China,82,88,90,86,260,86.66666666666667
5,Micki,O'Dowgaine,24,modowgaine4@livejournal.com,China,77,23,11,37,111,37.0
6,Bella,Litchfield,22,blitchfield5@dropbox.com,China,44,78,30,50,152,50.666666666666664
7,Ariel,Laslett,22,alaslett6@vimeo.com,Malta,100,61,90,83,251,83.66666666666667
8,Ailbert,Nickolls,25,anickolls7@is.gd,China,98,81,59,79,238,79.33333333333333
9,Jobyna,Stoffer,25,jstoffer8@xinhuanet.com,El Salvador,35,51,41,42,127,42.333333333333336
10,Saundra,Dietzler,25,sdietzler9@blogspot.com,Argentina,46,38,16,33,100,33.333333333333336
11,Mitchel,Lunt,22,mlunta@gov.uk,Macedonia,89,40,65,64,194,64.66666666666667
12,Nicoli,Chadburn,25,nchadburnb@toplist.cz,Mexico,80,47,53,60,180,60.0
13,Ketti,Naisby,21,knaisbyc@sina.com.cn,France,95,30,49,58,174,58.0
14,Adoree,Rama,22,aramad@xinhuanet.com,Argentina,60,89,12,53,161,53.666666666666664
15,Berny,Jime,19,bjimee@zdnet.com,Brazil,61,27,32,40,120,40.0
16,Reynolds,Goodge,24,rgoodgef@cargocollective.com,Guatemala,56,2,41,33,99,33.0
17,Turner,Brendish,24,tbrendishg@opera.com,Sweden,23,72,90,61,185,61.666666666666664
18,Ninetta,Carrane,20,ncarraneh@etsy.com,Slovenia,78,98,95,90,271,90.33333333333333
19,Dilly,Jedrychowski,19,djedrychowskii@aol.com,China,28,40,3,23,71,23.666666666666668
20,Friedrick,Schrir,19,fschrirj@slashdot.org,Indonesia,100,6,55,53,161,53.666666666666664
21,Clay,Gallagher,23,cgallagherk@soup.io,Vietnam,63,81,12,52,156,52.0
22,Collen,Foran,20,cforanl@sakura.ne.jp,Croatia,38,67,74,59,179,59.666666666666664
23,Skye,Elland,20,sellandm@a8.net,Russia,82,88,27,65,197,65.66666666666667
24,Tonnie,Audenis,24,taudenisn@wufoo.com,Philippines,71,6,26,34,103,34.333333333333336
25,Hedwiga,Tidswell,20,htidswello@discovery.com,China,78,97,8,61,183,61.0
26,Clevey,Bargh,25,cbarghp@uol.com.br,China,20,34,76,43,130,43.333333333333336
27,Kurt,Ivery,25,kiveryq@csmonitor.com,Portugal,51,60,18,43,129,43.0
28,Lloyd,Yeliashev,18,lyeliashevr@hud.gov,China,87,94,92,91,273,91.0
29,Terence,Creswell,20,tcreswells@domainmarket.com,China,76,66,68,70,210,70.0
30,Valentia,McGarrahan,25,vmcgarrahant@kickstarter.com,China,32,62,80,58,174,58.0
31,Tara,Bodesson,24,tbodessonu@nymag.com,Portugal,41,15,93,49,149,49.666666666666664
32,Arvy,Hinkins,19,ahinkinsv@go.com,Portugal,90,95,63,82,248,82.66666666666667
